date,USD_JPY,EUR_JPY
1999-01-04,113.44,133.73
1999-01-05,111.08,130.96
1999-01-06,111.91,131.42
1999-01-07,111.27,129.43
1999-01-08,111.58,130.09
1999-01-11,109.2,126.33
1999-01-12,112.53,129.63
1999-01-13,112.3,131.89
1999-01-14,113.91,132.74
1999-01-15,113.31,131.74
1999-01-18,114.45,132.9
1999-01-19,113.76,132.14
1999-01-20,113.68,131.59
1999-01-21,112.63,130.34
1999-01-22,114.01,131.88
1999-01-25,114.03,132.09
1999-01-26,113.81,131.81
1999-01-27,114.42,131.91
1999-01-28,115.91,132.25
1999-01-29,116.04,132.1
1999-02-01,115.43,130.88
1999-02-02,112.64,127.7
1999-02-03,111.9,126.86
1999-02-04,113.34,127.65
1999-02-05,113.31,127.95
1999-02-08,113.66,127.82
1999-02-09,114.63,129.91
1999-02-10,115.26,130.73
1999-02-11,114.35,129.35
1999-02-12,114.66,128.92
1999-02-15,115.06,129.31
1999-02-16,117.95,131.82
1999-02-17,118.62,133.48
1999-02-18,119.66,134.4
1999-02-19,120.01,133.97
1999-02-22,121.55,133.61
1999-02-23,121.38,133.14
1999-02-24,121.28,133.86
1999-02-25,120.45,132.87
1999-02-26,119.2,131.33
1999-03-01,119.36,131.13
1999-03-02,120.67,131.37
1999-03-03,121.28,132.18
1999-03-04,123.25,133.92
1999-03-05,122.94,133.19
1999-03-08,121.72,132.77
1999-03-09,121.93,132.45
1999-03-10,120.28,131.74
1999-03-11,120.28,131.0
1999-03-12,119.65,130.8
1999-03-15,117.68,128.85
1999-03-16,118.02,128.65
1999-03-17,118.71,130.18
1999-03-18,117.85,129.78
1999-03-19,117.26,127.99
1999-03-22,117.82,128.0
1999-03-23,118.34,128.94
1999-03-24,117.68,128.6
1999-03-25,118.05,128.65
1999-03-26,119.21,128.93
1999-03-29,120.45,128.78
1999-03-30,120.31,128.86
1999-03-31,118.98,127.81
1999-04-01,119.49,128.72
1999-04-02,120.54,129.85
1999-04-05,121.42,130.55
1999-04-06,121.19,129.99
1999-04-07,121.41,131.27
1999-04-08,120.59,130.45
1999-04-09,121.31,130.75
1999-04-12,119.88,130.27
1999-04-13,120.45,129.66
1999-04-14,119.17,128.55
1999-04-15,118.68,128.01
1999-04-16,118.26,126.16
1999-04-19,118.16,125.67
1999-04-20,117.87,125.48
1999-04-21,119.27,126.26
1999-04-22,119.98,126.95
1999-04-23,119.66,127.25
1999-04-26,118.92,126.22
1999-04-27,119.79,127.34
1999-04-28,119.12,127.05
1999-04-29,118.97,126.16
1999-04-30,119.75,126.9
1999-05-03,119.87,126.93
1999-05-04,121.2,128.04
1999-05-05,120.73,128.78
1999-05-06,120.94,130.6
1999-05-07,120.65,130.13
1999-05-10,120.93,129.82
1999-05-11,121.11,129.97
1999-05-12,121.07,128.88
1999-05-13,121.63,129.2
1999-05-14,122.5,130.78
1999-05-17,123.04,131.47
1999-05-18,123.12,131.62
1999-05-19,124.51,132.4
1999-05-20,124.22,132.16
1999-05-21,124.15,131.25
1999-05-24,123.63,130.86
1999-05-25,122.72,130.41
1999-05-26,122.23,128.77
1999-05-27,122.27,128.05
1999-05-28,120.91,126.7
1999-05-31,121.63,127.18
1999-06-01,121.09,126.35
1999-06-02,121.08,125.71
1999-06-03,121.17,125.8
1999-06-04,121.62,125.45
1999-06-07,120.88,124.7
1999-06-08,121.32,125.99
1999-06-09,118.94,124.48
1999-06-10,118.87,124.5
1999-06-11,118.47,124.09
1999-06-14,120.17,125.42
1999-06-15,120.54,125.27
1999-06-16,120.25,124.4
1999-06-17,119.89,123.97
1999-06-18,119.87,124.52
1999-06-21,122.16,126.3
1999-06-22,121.79,125.6
1999-06-23,122.13,125.55
1999-06-24,122.13,126.05
1999-06-25,121.42,126.8
1999-06-28,121.26,125.96
1999-06-29,120.9,125.3
1999-06-30,120.86,124.82
1999-07-01,120.93,124.12
1999-07-02,121.01,123.93
1999-07-05,122.34,125.18
1999-07-06,122.17,124.87
1999-07-07,122.06,124.77
1999-07-08,122.49,124.72
1999-07-09,122.17,124.66
1999-07-12,122.3,123.82
1999-07-13,121.6,123.83
1999-07-14,120.94,122.97
1999-07-15,120.62,123.04
1999-07-16,120.71,123.15
1999-07-19,119.85,121.6
1999-07-20,118.24,123.09
1999-07-21,118.72,124.2
1999-07-22,118.16,124.06
1999-07-23,116.2,121.96
1999-07-26,115.72,123.8
1999-07-27,116.94,124.27
1999-07-28,116.15,123.15
1999-07-29,115.34,123.18
1999-07-30,115.2,123.19
1999-08-02,114.28,121.88
1999-08-03,115.26,122.69
1999-08-04,114.66,123.39
1999-08-05,114.33,123.37
1999-08-06,114.65,123.13
1999-08-09,115.25,123.37
1999-08-10,114.79,123.25
1999-08-11,115.22,122.92
1999-08-12,115.86,123.25
1999-08-13,114.76,122.41
1999-08-16,114.92,121.28
1999-08-17,114.32,120.34
1999-08-18,113.06,118.9
1999-08-19,111.27,117.02
1999-08-20,111.71,119.16
1999-08-23,111.29,118.03
1999-08-24,111.7,117.42
1999-08-25,110.9,115.7
1999-08-26,111.35,116.38
1999-08-27,111.66,116.68
1999-08-30,111.06,116.1
1999-08-31,109.27,115.53
1999-09-01,109.3,116.0
1999-09-02,108.95,116.16
1999-09-03,109.83,117.32
1999-09-06,109.78,116.3
1999-09-07,111.16,117.44
1999-09-08,110.7,117.49
1999-09-09,108.91,115.36
1999-09-10,109.32,115.0
1999-09-13,106.22,109.85
1999-09-14,106.4,110.25
1999-09-15,104.1,107.94
1999-09-16,104.2,108.08
1999-09-17,106.43,110.66
1999-09-20,107.71,112.08
1999-09-21,104.66,108.72
1999-09-22,104.18,109.48
1999-09-23,103.98,108.45
1999-09-24,104.43,109.4
1999-09-27,105.31,109.67
1999-09-28,106.18,111.31
1999-09-29,106.84,112.85
1999-09-30,105.64,112.67
1999-10-01,105.56,113.25
1999-10-04,105.98,113.6
1999-10-05,106.66,113.98
1999-10-06,107.65,115.58
1999-10-07,107.63,115.48
1999-10-08,107.49,114.55
