date,US10Y,DE10Y
1953-04-30,2.83,
1953-05-31,3.05,
1953-06-30,3.11,
1953-07-31,2.93,
1953-08-31,2.95,
1953-09-30,2.87,
1953-10-31,2.66,
1953-11-30,2.68,
1953-12-31,2.59,
1954-01-31,2.48,
1954-02-28,2.47,
1954-03-31,2.37,
1954-04-30,2.29,
1954-05-31,2.37,
1954-06-30,2.38,
1954-07-31,2.3,
1954-08-31,2.36,
1954-09-30,2.38,
1954-10-31,2.43,
1954-11-30,2.48,
1954-12-31,2.51,
1955-01-31,2.61,
1955-02-28,2.65,
1955-03-31,2.68,
1955-04-30,2.75,
1955-05-31,2.76,
1955-06-30,2.78,
1955-07-31,2.9,
1955-08-31,2.97,
1955-09-30,2.97,
1955-10-31,2.88,
1955-11-30,2.89,
1955-12-31,2.96,
1956-01-31,2.9,
1956-02-29,2.84,
1956-03-31,2.96,
1956-04-30,3.18,
1956-05-31,3.07,6.4
1956-06-30,3.0,6.8
1956-07-31,3.11,6.8
1956-08-31,3.33,6.8
1956-09-30,3.38,7.0
1956-10-31,3.34,7.0
1956-11-30,3.49,7.2
1956-12-31,3.59,7.3
1957-01-31,3.46,7.3
1957-02-28,3.34,7.4
1957-03-31,3.41,7.5
1957-04-30,3.48,7.4
1957-05-31,3.6,7.4
1957-06-30,3.8,7.4
1957-07-31,3.93,7.5
1957-08-31,3.93,7.6
1957-09-30,3.92,7.6
1957-10-31,3.97,7.7
1957-11-30,3.72,7.7
1957-12-31,3.21,7.7
1958-01-31,3.09,7.5
1958-02-28,3.05,7.5
1958-03-31,2.98,7.4
1958-04-30,2.88,7.4
1958-05-31,2.92,7.3
1958-06-30,2.97,7.1
1958-07-31,3.2,6.7
1958-08-31,3.54,6.5
1958-09-30,3.76,6.2
1958-10-31,3.8,6.0
1958-11-30,3.74,5.9
1958-12-31,3.86,5.9
1959-01-31,4.02,5.8
1959-02-28,3.96,5.6
1959-03-31,3.99,5.6
1959-04-30,4.12,5.6
1959-05-31,4.31,5.7
1959-06-30,4.34,5.7
1959-07-31,4.4,5.6
1959-08-31,4.43,5.5
1959-09-30,4.68,5.8
1959-10-31,4.53,6.0
1959-11-30,4.53,6.1
1959-12-31,4.69,6.2
1960-01-31,4.72,6.5
1960-02-29,4.49,6.4
1960-03-31,4.25,6.4
1960-04-30,4.28,6.4
1960-05-31,4.35,6.4
1960-06-30,4.15,6.6
1960-07-31,3.9,6.7
1960-08-31,3.8,6.5
1960-09-30,3.8,6.5
1960-10-31,3.89,6.3
1960-11-30,3.93,6.2
1960-12-31,3.84,6.2
1961-01-31,3.84,6.1
1961-02-28,3.78,6.0
1961-03-31,3.74,5.9
1961-04-30,3.78,5.7
1961-05-31,3.71,5.6
1961-06-30,3.88,5.6
1961-07-31,3.92,5.7
1961-08-31,4.04,5.9
1961-09-30,3.98,6.0
1961-10-31,3.92,6.0
1961-11-30,3.94,6.0
1961-12-31,4.06,6.0
1962-01-31,4.08,5.9
1962-02-28,4.04,5.7
1962-03-31,3.93,5.6
1962-04-30,3.84,5.6
1962-05-31,3.87,5.8
1962-06-30,3.91,5.9
1962-07-31,4.01,5.9
1962-08-31,3.98,6.0
1962-09-30,3.98,6.0
1962-10-31,3.93,6.2
1962-11-30,3.92,6.2
1962-12-31,3.86,6.1
1963-01-31,3.83,6.0
1963-02-28,3.92,6.0
1963-03-31,3.93,6.0
1963-04-30,3.97,6.0
1963-05-31,3.93,6.1
1963-06-30,3.99,6.1
1963-07-31,4.02,6.1
1963-08-31,4.0,6.1
1963-09-30,4.08,6.1
1963-10-31,4.11,6.1
1963-11-30,4.12,6.0
1963-12-31,4.13,6.0
1964-01-31,4.17,5.9
1964-02-29,4.15,5.9
1964-03-31,4.22,6.0
1964-04-30,4.23,6.2
1964-05-31,4.2,6.3
1964-06-30,4.17,6.3
1964-07-31,4.19,6.3
1964-08-31,4.19,6.3
1964-09-30,4.2,6.4
1964-10-31,4.19,6.4
1964-11-30,4.15,6.4
1964-12-31,4.18,6.4
1965-01-31,4.19,6.4
1965-02-28,4.21,6.5
1965-03-31,4.21,6.5
1965-04-30,4.2,6.6
1965-05-31,4.21,6.9
1965-06-30,4.21,7.1
1965-07-31,4.2,7.2
1965-08-31,4.25,7.3
1965-09-30,4.29,7.4
1965-10-31,4.35,7.5
1965-11-30,4.45,7.5
1965-12-31,4.62,7.7
